Period,Average Power Generation (kWh),Relative Change (%)
Baseline,137998.61290322582,N/A
2020s,107479.07352833333,-22.11583053830758
2050s,114878.09475433333,-16.75416706188648
2080s,114492.24813066669,-17.03376887494037
