Period,Average Discharge (m³/s),Relative Change (%)
Baseline,3.454066002350386,N/A
2020s,3.012375645555949,-12.787548254546389
2050s,2.867542169079087,-16.980678217271695
2080s,2.699462597835052,-21.84681485535741
