Year,Station_ID,Distance_along_line_m,Width_m,Total_Water_Area_km2
1990,1,0,455.47222634632624,81.56709410615817
1990,2,2000,1007.8358916615774,81.56709410615817
1990,3,4000,1747.0791498583887,81.56709410615817
1990,4,6000,775.7448197929548,81.56709410615817
1990,5,8000,571.4948164685532,81.56709410615817
1990,6,10000,450.0451826763322,81.56709410615817
1990,7,12000,291.64524503893665,81.56709410615817
1990,8,14000,451.14295401302803,81.56709410615817
1990,9,16000,309.0727257103865,81.56709410615817
1990,10,18000,621.7647960111093,81.56709410615817
1990,11,20000,246.971180417601,81.56709410615817
1990,12,22000,200.42081295869912,81.56709410615817
1990,13,24000,676.5036586121681,81.56709410615817
1990,14,26000,800.8010960478841,81.56709410615817
1990,15,28000,678.9408398170563,81.56709410615817
1990,16,30000,1080.9835943202424,81.56709410615817
1990,17,32000,1086.5417734903024,81.56709410615817
1990,18,34000,455.93739972397924,81.56709410615817
1990,19,36000,467.10963224763674,81.56709410615817
1990,20,38000,511.29402576446296,81.56709410615817
1990,21,40000,546.6865218556043,81.56709410615817
1990,22,42000,334.86962195203887,81.56709410615817
2000,1,0,1388.6489202073774,132.99152088487176
2000,2,2000,3499.5929855318905,132.99152088487176
2000,3,4000,1527.9939243358208,132.99152088487176
2000,4,6000,914.5408334303771,132.99152088487176
2000,5,8000,2269.2377491040656,132.99152088487176
2000,6,10000,1040.8546562283393,132.99152088487176
2000,7,12000,1193.5859122407114,132.99152088487176
2000,8,14000,2382.6831424069974,132.99152088487176
2000,9,16000,908.4088020577733,132.99152088487176
2000,10,18000,1545.5473491933053,132.99152088487176
2000,11,20000,1250.389638105114,132.99152088487176
2000,12,22000,1076.712156939495,132.99152088487176
2000,13,24000,2926.6336727806865,132.99152088487176
2000,14,26000,2348.55541735369,132.99152088487176
2000,15,28000,1158.538142043047,132.99152088487176
2000,16,30000,811.3824995334543,132.99152088487176
2000,17,32000,1557.4272580501788,132.99152088487176
2000,18,34000,1153.9838252209158,132.99152088487176
2000,19,36000,472.7645016979803,132.99152088487176
2000,20,38000,586.0609260831724,132.99152088487176
2000,21,40000,299.34193317315476,132.99152088487176
2000,22,42000,326.74605707453384,132.99152088487176
2010,1,0,828.8496566025202,123.67051386549117
2010,2,2000,1067.08821721081,123.67051386549117
2010,3,4000,928.1087320941298,123.67051386549117
2010,4,6000,682.1267023829107,123.67051386549117
2010,5,8000,734.1467567509027,123.67051386549117
2010,6,10000,716.2339790261111,123.67051386549117
2010,7,12000,445.928836477815,123.67051386549117
2010,8,14000,1279.179082046262,123.67051386549117
2010,9,16000,1372.2957899978182,123.67051386549117
2010,10,18000,2270.811721794351,123.67051386549117
2010,11,20000,906.5203406403929,123.67051386549117
2010,12,22000,2302.017786627988,123.67051386549117
2010,13,24000,1194.6928122659237,123.67051386549117
2010,14,26000,1314.7733178962233,123.67051386549117
2010,15,28000,1440.9346317673464,123.67051386549117
2010,16,30000,2034.6992919985973,123.67051386549117
2010,17,32000,1796.8424396692128,123.67051386549117
2010,18,34000,1134.6951258293293,123.67051386549117
2010,19,36000,1179.435195591051,123.67051386549117
2010,20,38000,360.5655065651265,123.67051386549117
2010,21,40000,292.2992041380349,123.67051386549117
2010,22,42000,346.5608115204489,123.67051386549117
2020,1,0,458.5030911068741,145.30818916386716
2020,2,2000,789.7600117424998,145.30818916386716
2020,3,4000,2655.581421951807,145.30818916386716
2020,4,6000,1357.6631304851196,145.30818916386716
2020,5,8000,2967.2952487896227,145.30818916386716
2020,6,10000,695.1172658319392,145.30818916386716
2020,7,12000,3403.7436487571335,145.30818916386716
2020,8,14000,1003.6109371022628,145.30818916386716
2020,9,16000,1086.756379882711,145.30818916386716
2020,10,18000,685.7848901211869,145.30818916386716
2020,11,20000,1471.5865609847178,145.30818916386716
2020,12,22000,2649.4647599590435,145.30818916386716
2020,13,24000,1842.3232454490505,145.30818916386716
2020,14,26000,2563.95962712778,145.30818916386716
2020,15,28000,2496.907284179446,145.30818916386716
2020,16,30000,2238.3187087888846,145.30818916386716
2020,17,32000,2067.460817574049,145.30818916386716
2020,18,34000,1291.0299189171196,145.30818916386716
2020,19,36000,901.2216686157174,145.30818916386716
2020,20,38000,819.404742858293,145.30818916386716
2020,21,40000,299.3466667132344,145.30818916386716
2020,22,42000,351.4674162371182,145.30818916386716
2024,1,0,718.4844862866855,55.26083453056701
2024,2,2000,542.7090312617869,55.26083453056701
2024,3,4000,735.3305721066822,55.26083453056701
2024,4,6000,631.3718671443573,55.26083453056701
2024,5,8000,1266.5448714475874,55.26083453056701
2024,6,10000,851.749097753157,55.26083453056701
2024,7,12000,176.5792922795421,55.26083453056701
2024,8,14000,533.7024334854121,55.26083453056701
2024,9,16000,888.531762040113,55.26083453056701
2024,10,18000,1278.8895102055285,55.26083453056701
2024,11,20000,702.7617693026223,55.26083453056701
2024,12,22000,615.7453479329182,55.26083453056701
2024,13,24000,1305.0915637412518,55.26083453056701
2024,14,26000,839.3296257657274,55.26083453056701
2024,15,28000,925.9524065293422,55.26083453056701
2024,16,30000,853.8885774054982,55.26083453056701
2024,17,32000,573.4171651693588,55.26083453056701
2024,18,34000,816.7152592341567,55.26083453056701
2024,19,36000,517.624938837443,55.26083453056701
2024,20,38000,723.9957466605166,55.26083453056701
2024,21,40000,317.11495845580487,55.26083453056701
2024,22,42000,315.05569848397334,55.26083453056701
