Year,Observed_Tavg,Forecast_Temperature
1982.0,11.349315068493151,13.562884657534248
1983.0,13.257945205479452,13.836059452054794
1984.0,14.022017045454545,13.76837718579235
1985.0,13.581232876712328,13.57660904109589
1986.0,13.352479338842974,13.761568767123288
1987.0,13.71426592797784,13.719054931506848
1988.0,13.50495867768595,13.821579234972678
1989.0,13.309190031152648,13.72308904109589
1990.0,13.090615835777125,13.714215342465755
1991.0,12.89,13.710301917808218
1992.0,12.727384615384615,13.548808196721312
1993.0,14.09724517906336,13.62668205479452
1994.0,14.21991525423729,13.840582328767121
1995.0,13.666564417177915,13.789913972602738
1996.0,13.917138810198301,13.774106830601092
1997.0,13.587272727272728,13.965607808219179
1998.0,13.815265486725664,13.796694931506849
1999.0,15.863372093023257,13.900080684931506
2000.0,13.448847262247838,13.972008743169399
2001.0,14.00865671641791,13.904850273972603
2002.0,13.92085635359116,13.940442602739726
2003.0,13.687465564738293,13.930029589041096
2004.0,16.430839416058394,13.995742349726777
2005.0,14.536348122866894,13.935033424657533
2006.0,14.716301369863013,14.08434109589041
2007.0,16.229368932038835,14.219328219178083
2008.0,14.8375,14.000476912568304
2009.0,16.004683195592285,13.870678767123287
2010.0,13.489010989010989,14.032336164383562
2016.0,15.38450704225352,14.064650684931506
2017.0,14.082876712328767,14.311223770491804
2018.0,13.242602739726028,14.046851095890412
2019.0,12.858493150684932,14.074205753424659
2020.0,13.947267759562841,14.272067260273973
2021.0,13.993561643835616,14.203503142076503
2022.0,14.137808219178083,14.145516164383562
,,14.287886575342466
,,14.13020383561644
,,14.167484016393443
,,14.07982315068493
,,14.26640109589041
,,14.19255684931507
,,14.20174549180328
,,14.35563794520548
,,14.320605205479453
,,14.520246712328767
,,14.272539071038253
,,14.365125068493152
,,14.555145342465755
,,14.12342191780822
,,14.428208469945355
,,14.665328356164384
,,14.446534383561644
,,14.355185479452055
,,14.392160655737703
,,14.3994498630137
,,14.827466575342466
,,14.408126986301369
,,14.47620218579235
,,14.634702876712328
,,14.454553972602739
,,14.470001643835616
,,14.438024863387978
,,14.607433150684932
,,14.735595616438356
,,14.55654479452055
,,14.735460519125683
,,14.739415616438356
,,15.03898602739726
,,14.632290410958904
,,14.84763743169399
,,14.96039794520548
,,14.822971232876712
,,14.941845479452056
,,14.87164275956284
,,14.746619452054794
,,15.01842082191781
,,14.853527534246576
,,15.051826366120219
,,14.934533698630137
,,14.96467219178082
,,15.034185342465753
,,14.992275956284152
,,15.085172602739725
,,15.313366849315068
,,15.229242191780822
,,15.100822677595628
,,15.036624931506848
,,15.012436575342466
,,14.822472602739728
,,15.479251092896174
,,15.199612465753425
,,15.331363013698631
,,15.312799589041095
,,15.460494109589042
