Month,Baseline_Temperature,2020s,2050s,2080s
Jan,10.623286802030456,11.59607419465947,14.510804513633246,18.796561212957542
Feb,10.622934472934473,9.333792503622497,13.394393905539898,21.724535009086217
Mar,11.948466257668711,0.8481102051159775,6.531624566325911,13.501219769796643
Apr,12.888619402985075,2.242976529038332,8.855405301513311,15.438639498059493
May,13.730443037974682,5.2429725529160125,11.774173281244455,16.241734641394274
Jun,14.919959677419357,1.3550493898895826,3.772325061896875,9.778474001804716
Jul,15.957124518613607,-0.92056633569361,2.771016925107989,7.427603123941967
Aug,16.705180442374854,-2.925524854409999,0.47163618601124807,4.223005486776512
Sep,16.719937888198757,-5.2864184909599325,-2.6656731094278654,-0.057891625070830344
Oct,16.39751592356688,-9.654519386068335,-8.858812053522819,-7.698485501198242
Nov,14.180066225165564,-5.155980485410243,-4.172410795969656,-1.6389897803454123
Dec,11.755693717277488,6.984089447960589,8.440646053222235,12.716473902221855
Annual,13.9164696485623,0.07065783006216121,3.4080101454956755,7.81638797840191
